ΜΑΚΚΑΒΑΙΩΝ Δ 11:16	βασανίξειν	βασανίζειν
ΜΑΚΚΑΒΑΙΩΝ Δ 11:16	μιαιροφαγοῦτας	μιαιροφαγοῦντας
ΜΑΚΚΑΒΑΙΩΝ Δ 11:18	ἐκσφονοδυλιζόμενος	ἐκσφονδυλιζόμενος
ΜΑΚΚΑΒΑΙΩΝ Δ 11:19	πλευπὰ	πλευρὰ
ΜΑΚΚΑΒΑΙΩΝ Δ 11:27	δορυφίροι	δορυφόροι
ΜΑΚΚΑΒΑΙΩΝ Δ 12:2	ἤση	ἤδη
ΜΑΚΚΑΒΑΙΩΝ Δ 12:6	ἐμεήσαν	ἐμεήσας
ΜΑΚΚΑΒΑΙΩΝ Δ 12:6	μσωτηρίαν	σωτηρίαν
ΜΑΚΚΑΒΑΙΩΝ Δ 12:10	σραμὼν	δραμὼν
ΜΑΚΚΑΒΑΙΩΝ Δ 12:12	ὧ	ὧν
ΜΑΚΚΑΒΑΙΩΝ Δ 12:12	θεια	θεία
ΜΑΚΚΑΒΑΙΩΝ Δ 12:12	πυεὶ	πυρὶ
ΜΑΚΚΑΒΑΙΩΝ Δ 12:13	στοιξείων	στοιχείων
ΜΑΚΚΑΒΑΙΩΝ Δ 12:15	ἀρετῆν	ἀρετῆς
ΜΑΚΚΑΒΑΙΩΝ Δ 12:15	ἀγωνιστὰν	ἀγωνιστὰς
ΜΑΚΚΑΒΑΙΩΝ Δ 12:20	ἔοιψεν	ἔριψεν
ΜΑΚΚΑΒΑΙΩΝ Δ 12:20	ἀπέδεκεν	ἀπέδωκεν
ΜΑΚΚΑΒΑΙΩΝ Δ 13:2	σουλωθέντες	δουλωθέντες
ΜΑΚΚΑΒΑΙΩΝ Δ 13:5	ἀλγησόνων	ἀλγηδόνων
ΜΑΚΚΑΒΑΙΩΝ Δ 13:15	ψυξῆς	ψυχῆς
ΜΑΚΚΑΒΑΙΩΝ Δ 13:18	ἀποστωμένων	ἀποσπωμένων
ΜΑΚΚΑΒΑΙΩΝ Δ 13:20	ἀξηθέντες	αὐξηθέντες
ΜΑΚΚΑΒΑΙΩΝ Δ 13:21	συντέφονται	συντρέφονται
ΜΑΚΚΑΒΑΙΩΝ Δ 13:27	αὐτοῖν	αὐτοῖς
ALL	τοὺν	τοὺς
ΜΑΚΚΑΒΑΙΩΝ Δ 15:4	συμπαθευτέρας	συμπαθεστέρας
ΜΑΚΚΑΒΑΙΩΝ Δ 15:14	υήτηρ	μήτηρ
ΜΑΚΚΑΒΑΙΩΝ Δ 15:14	εὐσέβεβειαν	εὐσέβειαν
ΜΑΚΚΑΒΑΙΩΝ Δ 15:18	μετέρεψέν	μετέτρεψέν
ΜΑΚΚΑΒΑΙΩΝ Δ 15:24	ἐξέδσεν	ἐξέδυσεν
ΜΑΚΚΑΒΑΙΩΝ Δ 15:26	τένων	τέκνων
ΜΑΚΚΑΒΑΙΩΝ Δ 16:7	γαλακτοτροφίοι	γαλακτοτροφίαι
ΜΑΚΚΑΒΑΙΩΝ Δ 16:15	γὰν	γὰρ
ΜΑΚΚΑΒΑΙΩΝ Δ 16:17	ἀληδόνας	ἀλγηδόνας
ΜΑΚΚΑΒΑΙΩΝ Δ 16:19	τιῦτο	τοῦτο
