Line Number	Verse Reference	Word	Suggested Fix	Full Line
364	ΓΕΝΕΣΙΣ 10:4	Ῥόδὶοι	Ῥόδίοι	\vs{4}Καὶ υἱοὶ Ἰωύαν, Ἐλισὰ, καὶ Θάρσεις, Κήτιοι, Ῥόδὶοι.
422	ΓΕΝΕΣΙΣ 11:25	εἰκοσιπὲντε	εἰκοσιπέντε	\vs{25}Καὶ ἔζησε Ναχὼρ, μετὰ τὸ γεννῆσαι αὐτὸν τὸν Θάῤῥα, ἔτη ἑκατὸν εἰκοσιπὲντε, καὶ ἐγεννησεν υἱοὺς καὶ θυγατέρας, καὶ ἀπέθανε.
1165	ΓΕΝΕΣΙΣ 32:31	πρὸσωπον	πρόσωπον	\vs{31}Καὶ ἐκάλεσεν Ἰακὼβ τὸ ὄνομα τοῦ τόπου ἐκείνου, εἶδος Θεοῦ· εἶδον γὰρ Θεὸν πρόσωπον πρὸς πρὸσωπον, καὶ ἐσώθη μου ἡ ψυχή.
1179	ΓΕΝΕΣΙΣ 33:10	εὓρον	εὕρον	\vs{10}Εἶπε δὲ Ἰακὼβ, εἰ εὓρον χάριν ἐναντίον σου, δέξαι τὰ δῶρα διὰ τῶν ἐμῶν χειρῶν· ἕνεκεν τούτου εἶδον τὸ πρόσωπόν σου, ὡς ἄν τις ἴδοι πρόσωπον Θεοῦ, καὶ εὐδοκήσεις με.
1840	ΕΞΟΔΟΣ 2:7	παιδὶον	παιδίον	\vs{7}Καὶ εἶπεν ἡ ἀδελφὴ αὐτοῦ τῇ θυγατρὶ Φαραὼ, θέλεις καλέσω σοι γυναῖκα τροφεύουσαν ἐκ τῶν Ἐβραίων, καὶ θηλάσει σαι τὸ παιδὶον σοι τὸ παιδίον;
1869	ΕΞΟΔΟΣ 3:8	Γεργεσαὶων	Γεργεσαίων	\vs{8}καὶ κατέβην ἐξελέσθαι αὐτοὺς ἐκ χειρὸς τῶν Αἰγυπτίων, καὶ ἐξαγαγεῖν αὐτοὺς ἐκ τῆς γῆς ἐκείνης, καὶ εἰσαγαγεῖν αὐτοὺς εἰς γῆν ἀγαθὴν καὶ πολλήν, εἰς γῆν ῥέουσαν γάλα καὶ μέλι, εἰς τὸν τόπον τῶν Χαναναίων, καὶ Χετταίων, καὶ Ἀμοῤῥαίων, καὶ Φερεζαίων, καὶ Γεργεσαὶων, καὶ Εὐαίων, καὶ Ἰεβουσαίων.
1953	ΕΞΟΔΟΣ 6:7	λὴψομαι	λήψομαι	\vs{7}Καὶ λὴψομαι ἐμαυτῷ ὑμᾶς λαὸν ἐμοὶ, καὶ ἔσομαι ὑμῶν Θεός· καὶ γνώσεσθε ὅτι ἐγὼ Κύριος ὁ Θεὸς ὑμῶν, ὁ ἐξαγαγὼν ὑμᾶς ἐκ τῆς καταδυναστείας τῶν Αἰγυπτίων.
2061	ΕΞΟΔΟΣ 9:19	πὰντες	πάντες	\vs{19}Νῦν οὖν κατάσπευσον συναγαγεῖν τὰ κτήνη σου, καὶ ὅσα σοι ἐστὶν ἐν τῷ πεδίῳ· πάντες γὰρ οἱ ἄνθρωποι, καὶ τὰ κτήνη, ὅσα σοί ἐστιν ἐν τῷ πεδίῳ· πὰντες γὰρ οἱ ἄνθρωποι, καὶ τὰ κτήνη, ὅσα ἐὰν εὑρεθῇ ἐν τοῖς πεδίοις, καὶ μὴ εἰσέλθῃ εἰς οἰκίαν, πεσῇ δὲ ἐπʼ αὐτὰ ἡ χάλαζα, τελευτήσει.
2072	ΕΞΟΔΟΣ 9:29	χὰλαζα	χάλαζα	\vs{29}Εἶπε δὲ αὐτῷ Μωυσῆς, ὡς ἂν ἐξέλθω τὴν πόλιν, ἐκπετάσω τὰς χεῖράς μου πρὸς τὸν Κύριον, καὶ αἱ φωναὶ παύσονται, καὶ ἡ χὰλαζα καὶ ὁ ὑετὸς οὐκ ἔσται ἔτι, ἵνα γνῷς ὅτι τοῦ Κυρίου ἡ γῆ.
2129	ΕΞΟΔΟΣ 12:5	λὴψεσθε	λήψεσθε	\vs{5}Πρόβατον τέλειον, ἄρσεν, ἐνιαύσιον ἔσται ὑμῖν· ἀπὸ τῶν ἀρνῶν καὶ τῶν ἐρίφων λὴψεσθε.
