Source File	Line Number	Verse Reference	Word	Suggested Fix	Errors Found	Full Line
Brenton-corrected.tex	187	ΓΕΝΕΣΙΣ 4:9	Kύριος	Κύριος	K	\vs{9}Καὶ εἶπε Kύριος ὁ Θεὸς πρὸς Κάϊν· ποῦ ἔστιν Ἄβελ ὁ ἀδελφός σου; καὶ εἶπεν, οὐ γινώσκω· μὴ φύλαξ τοῦ ἀδελφοῦ μου εἰμὶ ἐγώ;
Brenton-corrected.tex	1649	ΓΕΝΕΣΙΣ 46:9	Yἱοὶ	Υἱοὶ	Y	\vs{9}Yἱοὶ δὲ Ῥουβὴν, Ἑνὼχ, καὶ Φαλλὸς, Ἀσρὼν, καὶ Χαρμί.
Brenton-corrected.tex	4821	ΑΡΙΘΜΟΙ 15:36	Kύριος	Κύριος	K	\vs{36}Καὶ ἐξήγαγον αὐτὸν πᾶσα ἡ συναγωγὴ ἔξω τῆς παρεμβολῆς· καὶ ἐλιθοβόλησεν αὐτὸν πᾶσα ἡ συναγωγὴ λίθοις ἔξω τῆς παρεμβολῆς, καθὰ συνέταξε Kύριος τῷ Μωυσῇ.
Brenton-corrected.tex	13530	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:8	Yἱοὶ	Υἱοὶ	Y	\vs{8}Yἱοὶ τῷ Ἐδάν, ἄρχων Ἰεϊὴλ, καὶ Ζηθὸμ, καὶ Ἰωήλ, καὶ τρεῖς.
Brenton-corrected.tex	13531	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:9	Yἱοὶ	Υἱοὶ	Y	\vs{9}Yἱοὶ Σεμεῒ, Σαλωμὶθ, Ἰεϊὴλ, καὶ Δὰν, τρεῖς· οὗτοι ἄρχοντες πατριῶν τῶν Ἐδάν·
Brenton-corrected.tex	13535	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:12	Yἱοὶ	Υἱοὶ	Y	\vs{12}Yἱοὶ Καάθ, Ἀμβρὰμ, Ἰσαάρ, Χεβρών, Ὀζιὴλ, τέσσαρες.
Brenton-corrected.tex	13536	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:13	Yἱοὶ	Υἱοὶ	Y	\vs{13}Yἱοὶ Ἀμβρὰμ, Ἀαρὼν καὶ Μωυσῆς· καὶ διεστάλη Ἀαρὼν τοῦ ἁγιασθῆναι ἅγια ἁγίων, αὐτὸς καὶ οἱ υἱοὶ αὐτοῦ ἕως αἰῶνος, τοῦ θυμιᾷν ἐναντίον τοῦ κυρίου, λειτουργεῖν καὶ ἐπεύχεσθαι ἐπὶ τῷ ὀνόματι αὐτοῦ ἕως αἰῶνος.
Brenton-corrected.tex	13538	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:15	Yἱοὶ	Υἱοὶ	Y	\vs{15}Yἱοὶ Μωυσῆ, Γηρσὰμ, καὶ Ἐλιέζερ.
Brenton-corrected.tex	13539	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:16	Yἱοὶ	Υἱοὶ	Y	\vs{16}Yἱοὶ Γηρσὰμ, Σουβαὴλ ὁ ἄρχων.
Brenton-corrected.tex	13541	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:18	Yἱοὶ	Υἱοὶ	Y	\vs{18}Yἱοὶ Ἰσαάρ, Σαλωμὼθ ὁ ἄρχων.
