Line Number	Verse Reference	Word	Full Line
134	ΓΕΝΕΣΙΣ 2:13	Γεῶν	\vs{13}Καὶ ὄνομα τῷ ποταμῷ τῷ δευτέρῳ, Γεῶν· οὗτος ὁ κυκλῶν πᾶσαν τὴν γὴν Αἰθιοπίας.
373	ΓΕΝΕΣΙΣ 10:12	Δασὴ	\vs{12}καὶ τὴν Δασὴ ἀνὰ μέσον Νινευῒ, καὶ ἀνὰ μέσον Χαλάχ· αὕτη ἡ πόλις μεγάλη.
374	ΓΕΝΕΣΙΣ 10:13	Ἐνεμετιεὶμ	\vs{13}Καὶ Μεσραῒν ἐγέννησε τοὺς Λουδιεὶμ, καὶ τοὺς Νεφθαλεὶμ, καὶ τοὺς Ἐνεμετιεὶμ, καὶ τοὺς Λαβιεὶμ,
491	ΓΕΝΕΣΙΣ 14:15	Χοβὰ	\vs{15}Καὶ ἐπέπεσεν ἐπʼ αὐτοὺς τὴν νύκτα αὐτὸς, καὶ οἱ παῖδες αὐτοῦ, καὶ ἐπάταξεν αὐτοὺς, καὶ κατεδίωξεν αὐτοὺς ἕως Χοβὰ, ἥ ἐστιν ἐν ἀριστερᾷ Δαμασκοῦ.
579	ΓΕΝΕΣΙΣ 18:4	Ληφθήτω	\vs{4}Ληφθήτω δὴ ὕδωρ, καὶ νιψάτωσαν τοὺς πόδας ὑμῶν, καὶ καταψύξατε ὑπὸ τὸ δένδρον.
737	ΓΕΝΕΣΙΣ 22:24	Μοχά	\vs{24}Καὶ ἡ παλλακὴ αὐτοῦ, ᾗ ὄνομα Ῥεύμα, ἔτεκε καὶ αὐτὴ τὸν Ταβὲκ, καὶ τὸν Ταὰμ, καὶ τὸν Τοχός, καὶ τὸν Μοχά.
837	ΓΕΝΕΣΙΣ 25:2	Ἰεσβὼκ	\vs{2}Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
838	ΓΕΝΕΣΙΣ 25:3	Δεδάν	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Δεδὰν	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Ἀσσουριεὶμ	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Λατουσιεὶμ	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
839	ΓΕΝΕΣΙΣ 25:4	Ἀφεὶρ	\vs{4}Υἱοὶ δὲ Μαδιὰμ Γεφὰρ, καὶ Ἀφεὶρ, καὶ Ἐνὼχ, καὶ Ἀβειδὰ, καὶ Ἐλδαγά· πάντες οὗτοι ἦσαν υἱοὶ Χεττούρας.
974	ΓΕΝΕΣΙΣ 28:9	Ναβεὼθ	\vs{9}ἐπορεύθη Ἡσαῦ πρὸς Ἰσμαήλ· καὶ ἔλαβε τὴν Μαελὲθ, θυγατέρα Ἰσμαὴλ τοῦ υἱοῦ Ἁβραὰμ, ἀδελφὴν Ναβεὼθ, πρὸς ταῖς γυναιξὶν αὐτοῦ γυναῖκα.
1188	ΓΕΝΕΣΙΣ 33:18	Σηκίμων	\vs{18}Καὶ ἦλθεν Ἰακὼβ εἰς Σαλὴμ, πόλιν Σηκίμων, ἥ ἐστιν ἐν γῇ Χαναὰν, ὅτε ἐπανῆλθεν ἐκ τῆς Μεσοποταμίας Συρίας· καὶ παρενέλαβε κατὰ πρόσωπον τῆς πόλεως.
1231	ΓΕΝΕΣΙΣ 35:4	Σηκίμοις	\vs{4}Καὶ ἔδωκαν τῷ Ἰακὼβ τοὺς θεοὺς τοὺς ἀλλοτρίους, οἳ ἦσαν ἐν ταῖς χερσὶν αὐτῶν, καὶ τὰ ἐνώτια τὰ ἐν τοῖς ὠσὶν αὐτῶν· καὶ κατέκρυψεν αὐτὰ Ἰακὼβ ὑπὸ τὴν τερέβινθον τὴν ἐν Σηκίμοις· καὶ ἀπώλεσεν αὐτὰ, ἕως τῆς σήμερον ἡμέρας.
1232	ΓΕΝΕΣΙΣ 35:5	Σηκίμων	\vs{5}Καὶ ἐξῇρεν Ἰσραὴλ ἐκ Σηκίμων· καὶ ἐγένετο φόβος Θεοῦ ἐπὶ τὰς πόλεις τὰς κύκλῳ αὐτῶν, καὶ οὐ κατεδίωξαν ὀπίσω τῶν υἱῶν Ἰσραήλ.
1271	ΓΕΝΕΣΙΣ 36:11	Γοθὼμ	\vs{11}Ἐγένοντο δὲ Ἑλιφὰς υἱοὶ, Θαιμὰν, Ὠμὰρ, Σωφὰρ, Γοθὼμ, καὶ Κενέζ.
1273	ΓΕΝΕΣΙΣ 36:13	Ναχὼθ	\vs{13}Οὗτοι δὲ υἱοὶ Ῥαγουὴλ, Ναχὼθ, Ζαρὲ, Σομὲ, καὶ Μοζέ· οὗτοι ἦσαν υἱοὶ Βασεμὰθ γυναικὸς Ἡσαῦ.
