Line Number	Verse Reference	Word	Closest Match	Similarity	Verse Match?	Area Match?	Full Line
3995	ΛΕΥΙΤΙΚΟΝ 25:37	πλεονασμῷ	πλεονασμὸν	0.84	Yes	No	\vs{37}Τὸ ἀργύριόν σου οὐ δώσεις αὐτῷ ἐπὶ τὸκῳ, καὶ ἐπὶ πλεονασμῷ οὐ δώσεις αὐτῷ τὰ βρώματά σου.
5663	ΑΡΙΘΜΟΙ 35:34	κατασκηνώ	κατασκηνῶν	0.95	Yes	No	\vs{34}Καὶ οὐ μιανεῖτε τὴν γῆν ἐφʼ ἧς κατοικεῖτε ἐπʼ αὐτῆς, ἐφʼ ἧς ἐγὼ κατασκηνώ ἐν ὑμῖν· ἐγὼ γάρ εἰμι Κύριος κατασκηνῶν ἐν μέσῳ τῶν υἱῶν Ἰσραήλ.
8072	ΚΡΙΤΑΙ 9:6	Βηθμααλὼ	βηθμααλων	0.94	Yes	No	\vs{6}Καὶ συνήχθησαν πάντες ἄνδρες Σικίμων, καὶ πᾶς οἶκος Βηθμααλὼ, καὶ ἐπορεύθησαν, καὶ ἐβασίλευσαν τὸν Ἀβιμέλεχ πρὸς τῇ βαλάνῳ τῇ εὑρετῇ τῆς στάσεως τῆς ἐν Σικίμοις.
8089	ΚΡΙΤΑΙ 9:20	Βηθμααλώ	βηθμααλλων	0.89	Yes	No	\vs{20}Εἰ δὲ οὐ, ἐξέλθοι πῦρ ἀπὸ Ἀβιμέλεχ, καὶ καταφάγοι τοὺς ἄνδρας Σικίμων καὶ τὸν οἴκον Βηθμααλώ· καὶ ἐξέλθοι πῦρ ἀπὸ ἀνδρῶν Σικίμων, καὶ ἐκ τοῦ οἴκου Βηθμααλὼ, καὶ καταφάγοι τὸν Ἀβιμέλεχ.
8089	ΚΡΙΤΑΙ 9:20	Βηθμααλὼ	βηθμααλλων	0.89	Yes	No	\vs{20}Εἰ δὲ οὐ, ἐξέλθοι πῦρ ἀπὸ Ἀβιμέλεχ, καὶ καταφάγοι τοὺς ἄνδρας Σικίμων καὶ τὸν οἴκον Βηθμααλώ· καὶ ἐξέλθοι πῦρ ἀπὸ ἀνδρῶν Σικίμων, καὶ ἐκ τοῦ οἴκου Βηθμααλὼ, καὶ καταφάγοι τὸν Ἀβιμέλεχ.
12493	ΒΑΣΙΛΕΙΩΝ Δ 21:26	κήτῳ	κητῶν	0.89	No	No	\vs{26}Καὶ ἔθαψαν αὐτὸν ἑν τῷ τάφῳ αὐτοῦ ἑν τῷ κήτῳ Ὀζά, καὶ ἐβασίλευσεν Ἰωσίας υἱὸς αὐτοῦ ἀντʼ αὐτοῦ.
13006	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 7:37	Ιεθρὰ	ιεθραν	0.91	Yes	No	\vs{37}καὶ Βασὰν, καὶ ʼΩὰ, καὶ Σαμὰ, καὶ Σαλισὰ, καὶ ʼΙεθρὰ, καὶ Βεηρά.
13068	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 9:8	Ἰεμναὰ	ιεμνααν	0.92	No	No	\vs{8}καὶ Ἰεμναὰ υἱὸς Ἱεροβοὰμ, καὶ Ἠλώ· οὗτοι υἱοὶ Ὀζὶ υἱοῦ Μαχίρ· καὶ Μοσολλὰμ υἱὸς Σαφατία, υἱοῦ Ῥαγουὴλ, υἱοῦ Ἰεμναῒ,
13068	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 9:8	Ἠλώ	πηλῷ	0.86	No	No	\vs{8}καὶ Ἰεμναὰ υἱὸς Ἱεροβοὰμ, καὶ Ἠλώ· οὗτοι υἱοὶ Ὀζὶ υἱοῦ Μαχίρ· καὶ Μοσολλὰμ υἱὸς Σαφατία, υἱοῦ Ῥαγουὴλ, υἱοῦ Ἰεμναῒ,
13460	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:2	ἀρὸ	αρβο	0.86	No	No	\vs{2}Καὶ εἶπεν ὁ βασιλεὺς δαυὶδ πρὸς Ἰωὰβ καὶ τοὺς ἄρχοντας τῆς δυνάμεως, πορεύθητε, ἀριθμήσατε τὸν Ἰσραὴλ ἀρὸ Βηρσαβεὲ καὶ ἕως Δᾶν, καὶ ἐνέγκατε πρὸς μὲ, καὶ γνώσομαι τὸν ἀριθμὸν αὐτῶν.
21361	ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 16:14	Θυμὸ	θυμὸς	0.89	Yes	No	\vs{14}Θυμὸ βασιλέως ἄγγελος θανάτου, ἀνὴρ δὲ σοφὸς ἐξιλάσεται αὐτόν.
22794	ΗΣΑΙΑΣ 14:9	ἐθνῶ	ἐθνῶν	0.89	Yes	No	\vs{9}Ὁ ᾅδης κάτωθεν ἐπικράνθη συναντήσας σοι· συνηγέρθησάν σοι πάντες οἱ γίγαντες οἱ ἄρξαντες τῆς γῆς, οἱ ἐγείραντες ἐκ τῶν θρόνων αὐτῶν πάντας βασιλεῖς ἐθνῶ.
23557	ΗΣΑΙΑΣ 43:23	ἐδούλωσά	ἐδούλωσαν	0.94	No	No	\vs{23}Οὐκ ἤνεγκάς μοι πρόβατά σου τῆς ὁλοκαρπώσεώς σου, οὐδὲ ἐν ταῖς θυσίαις σου ἐδόξασάς με· οὐκ ἐδούλωσά σε ἐν θυσίαις, οὐδὲ ἔγκοπον ἐποίησά σε ἐν λιβάνῳ,
28148	ΔΑΝΙΗΛ 4:22	κυρεία	κυριεία	0.92	Yes	No	\vs{22}σὺ εἶ, βασιλεῦ, ὅτι ἐμεγαλύνθης καὶ ἴσχυσας, καὶ ἡ μεγαλωσύνη σου ἐμεγαλύνθη, καὶ ἔφθασεν εἰς τὸν οὐρανὸν, καὶ ἡ κυρεία σου εἰς τὰ πέρατα τῆς γῆς.
28244	ΔΑΝΙΗΛ 6:27	κυρεία	κυριεία	0.92	Yes	No	\vs{27}Ἐκ προσώπου μου ἐτέθη δόγμα τοῦτο ἐν πάσῃ ἀρχῇ τῆς βασιλείας μου, εἶναι τρέμοντας καὶ φοβουμένους ἀπὸ προσώπου τοῦ Θεοῦ Δανιήλ, ὅτι αὐτός ἐστι Θεὸς ζῶν, καὶ μένων εἰς τοὺς αἰῶνας, καὶ ἡ βασιλεία αὐτοῦ οὐ διαφθαρήσεται, καὶ ἡ κυρεία αὐτοῦ ἕως τέλους·
29296	ΜΙΧΑΙΑΣ 7:10	ροῦ	οὐ	0.80	No	Yes	\vs{10}καὶ ὄψεται ἡ ἐχθρά μου καὶ περιβαλεῖται αἰσχύνην, ἡ λέγουσα, ροῦ Κύριος ὁ Θεός σου; οἱ ὀφθαλμοί μου ἐπόψονται αὐτὴν, νῦν ἔσται εἰς καταπάτημα ὡς πηλὸς ἐν ταῖς ὁδοῖς.
34905	ΜΑΚΚΑΒΑΙΩΝ Α 10:8	ἐφοβήθησα	ἐφοβήθησαν	0.95	Yes	No	\vs{8}Καὶ ἐφοβήθησα φόβον μέγαν ὅτε ἤκουσαν ὅτι ἔδωκεν αὐτῷ ὁ βασιλεὺς ἐξουσίαν συναγαγεῖν δυνάμεις.
35789	ΜΑΚΚΑΒΑΙΩΝ Β 7:27	πατρῴᾳ	πατρίῳ	0.83	Yes	No	\vs{27}Προσκύψασα δὲ αὐτῷ, χλευάσασα τὸν ὠμὸν τύραννον, οὕτως ἔφησε τῇ πατρῴᾳ φωνῇ, υἱὲ, ἐλέησόν με τὴν ἐν γαστρὶ περιενέγκασάν σε μῆνας ἐννέα, καὶ θηλάσασάν σε ἔτη τρία, καὶ ἐκθρέψασάν σε καὶ ἀγαγοῦσαν εἰς τὴν ἡλικίαν ταύτην, καὶ τροφοφορήσασαν.
35889	ΜΑΚΚΑΒΑΙΩΝ Β 9:17	Ἰουδαῖο	ιουδαῖον	0.93	Yes	No	\vs{17}πρὸς δὲ τούτοις, καὶ Ἰουδαῖο ἔσεσθαι, καὶ πάντα τόπον οἰκητὸν ἐπελεύσεσθαι καταγγέλλοντα τὸ τοῦ Θεοῦ κράτος.
35962	ΜΑΚΚΑΒΑΙΩΝ Β 10:37	Ἀπολλοφάνη	ἀπολλοφάνην	0.95	Yes	No	\vs{37}καὶ τὸν Τιμόθεον ἀποκεκρυμμένον ἔν τινι λάκκῳ κατέσφαξαν, καὶ τὸν τούτου ἀδελφὸν Χαιρέαν, καὶ τὸν Ἀπολλοφάνη.
37073	ΜΑΚΚΑΒΑΙΩΝ Δ 15:6	φιλοστοργία	φιλοστοργίαν	0.96	Yes	No	\vs{6}Πασῶν δὲ τῶν μητέρων ἐγένετο ἡ τῶν ἑπτὰ μήτηρ φιλοτεκνοτέρα, ἥ τις ἑπτὰ κυοφορίαις τὴν πρὸς αὐτοὺς ἐπιφυτευομένη φιλοστοργία,
