Line Number	Verse Reference	Brenton Word	Rahlfs Word	Error Type	Context	Full Line
15602	ΝΕΕΜΙΑΣ 9:21	ὑστέρησας	ὑστέρησαν	single_char	-ας → -αν	\vs{21}Καὶ τεσσαράκοντα ἔτη διέθρεψας αὐτοὺς ἐν τῇ ἐρήμῳ, οὐχ ὑστέρησας αὐτοῖς οὐδέν· ἱμάτια αὐτῶν οὐκ ἐπαλαιώθησαν, καὶ πόδες αὐτῶν οὐ διεῤῥάγησαν.
16051	ΕΣΘΗΡ 8:12g	ὡς	ὧν	single_char	-ως → -ων	\vs{12g}Σκοπεῖν δὲ ἔξεστιν, οὐ τοσοῦτον ἐκ τῶν παλαιοτέρων ὡς παρεδώκαμεν ἱστοριῶν, ὅσα ἐστὶ παρὰ πόδας ὑμᾶς ἐκζητοῦντας ἀνοσίως συντετελεσμένα τῇ τῶν ἀναξίᾳ δυναστευόντων λοιμότητι·
18076	ΨΑΛΜΟΙ 32:11	γενεάς	γενεὰν	single_char	-ας → -αν	\vs{11}Ἡ δὲ βουλὴ τοῦ Κυρίου εἰς τὸν αἰῶνα μένει, λογισμοὶ τῆς καρδίας αὐτοῦ ἀπὸ γενεῶν εἰς γενεάς.
18671	ΨΑΛΜΟΙ 59:6	τόξον	τόξου	single_char	-ον → -ου	\vs{6}Ἔδωκας τοῖς φοβουμένοις σε σημείωσιν, τοῦ φυγεῖν ἀπὸ προσώπου τόξον· διάψαλμα.
18735	ΨΑΛΜΟΙ 63:7	ἀνομίαν	ἀνομίας	single_char	-αν → -ας	\vs{7}Ἐξηρεύνησαν ἀνομίαν, ἐξέλιπον ἐξερευνῶντες ἐξερευνήσει· προσελεύσεται ἄνθρωπος, καὶ καρδία βαθεῖα,
19560	ΨΑΛΜΟΙ 96:6	αἱ	οἱ	sequence	αι → οι	\vs{6}Ἀνήγγειλαν αἱ οὐρανοὶ τὴν δικαιοσύνην αὐτοῦ, καὶ εἴδοσαν πάντες οἱ λαοὶ τὴν δόξαν αὐτοῦ.
19730	ΨΑΛΜΟΙ 104:5	αὐτον	αὐτοῦ	single_char	-ον → -ου	\vs{5}Μνήσθητε τῶν θαυμασίων αὐτον ὧν ἐποίησε, τὰ τέρατα αὐτοῦ, καὶ τὰ κρίματα τοῦ στόματος αὐτοῦ.
19954	ΨΑΛΜΟΙ 109:6	γῆν	γῆς	single_char	-ην → -ης	\vs{6}Κρινεῖ ἐν τοῖς ἔθνεσι, πληρώσει πτώματα, συνθλάσει κεφαλὰς ἐπὶ γῆν πολλῶν.
20225	ΨΑΛΜΟΙ 118:109	νόμον	νόμου	single_char	-ον → -ου	\vs{109}Ἡ ψυχή μου ἐν ταῖς χερσὶ σου διαπαντὸς, καὶ τὸν νόμον σου οὐκ ἐπελαθόμην.
20275	ΨΑΛΜΟΙ 118:153	νόμου	νόμον	single_char	-ου → -ον	\vs{153}Ἴδε τὴν ταπείνωσίν μου καὶ ἐξελοῦ με, ὅτι τοῦ νόμου σου οὐκ ἐπελαθόμην.
20389	ΨΑΛΜΟΙ 127:3	ταῖς	τοῖς	sequence	αι → οι	\vs{3}Ἡ γυνή σου ὡς ἄμπελος εὐθηνοῦσα ἐν ταῖς κλίτεσι τῆς οἰκίας σου· οἱ υἱοί σου ὡς νεόφυτα ἐλαιῶν κύκλῳ τῆς τραπέζης σου.
20562	ΨΑΛΜΟΙ 138:14	ἐθαυμαστώθης	ἐθαυμαστώθην	single_char	-ης → -ην	\vs{14}Ἐξομολογήσομαί σοι, ὅτι φοβερῶς ἐθαυμαστώθης· θαυμάσια τὰ ἔργα σου, καὶ ἡ ψυχή μου γινώσκει σφόδρα.
20870	ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 3:17	αἱ	οἱ	sequence	αι → οι	\vs{17}Αἱ ὁδοὶ αὐτῆς ὁδοὶ καλαί, καὶ πάσαι αἱ τρίβοι αὐτῆς ἐν εἰρήνῃ.
20931	ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 5:2	αἴσθησις	αἴσθησιν	single_char	-ις → -ιν	\vs{2}ἵνα φυλάξῃς ἔννοιαν ἀγαθήν· αἴσθησις δὲ ἐμῶν χειλέων ἐντέλλεταί σοι·
22191	ΕΚΚΛΗΣΙΑΣΤΗΣ 10:1	μεγάλην	μεγάλης	single_char	-ην → -ης	Μυῖαι θανατοῦσαι σαπριοῦσι σκευασίαν ἐλαίου ἡδύσματος· τίμιον ὀλίγον σοφίας ὑπὲρ δόξαν ἀφροσύνης μεγάλην.
22218	ΕΚΚΛΗΣΙΑΣΤΗΣ 10:19	οἶνον	οἶνος	single_char	-ον → -ος	\vs{19}Εἰς γέλωτα ποιοῦσιν ἄρτον, καὶ οἶνον καὶ ἔλαιον τοῦ εὐφρανθῆναι ζῶντας, καὶ τοῦ ἀργυρίου ταπεινώσει ἐπακούσεται τὰ πάντα.
22577	ΗΣΑΙΑΣ 5:29	θηρίον	θηρίου	single_char	-ον → -ου	\vs{29}Ὀργιῶσιν ὡς λέοντες, καὶ παρέστηκαν ὡς σκύμνοι λέοντος· καὶ ἐπιλήψεται, καὶ βοήσει ὡς θηρίον, καὶ ἐκβαλεῖ, καὶ οὐκ ἔσται ὁ ῥυόμενος αὐτούς.
22771	ΗΣΑΙΑΣ 13:14	ἄνθρωπος	ἄνθρωπον	single_char	-ος → -ον	\vs{14}Καὶ ἔσονται οἱ καταλελειμμένοι ὡς δορκάδιον φεῦγον, καὶ ὡς πρόβατον πλανώμενον, καὶ οὐκ ἔσται ὁ συνάγων, ὥστε ἄνθρωπον εἰς τὸν λαὸν αὐτοῦ ἀποστραφῆναι, καὶ ἄνθρωπος εἰς τὴν χώραν ἑαυτοῦ διώξεται.
