Brenton Reference	Rahlfs Reference	Status	Line Number
ΓΕΝΕΣΙΣ 31:50a	Gen.31.50a	not_found	1127
ΕΞΟΔΟΣ 25:5a	Exod.25.5a	not_found	2559
ΒΑΣΙΛΕΙΩΝ Β 23:37a	2Sam.23.37a	not_found	10599
ΒΑΣΙΛΕΙΩΝ Β 23:37b	2Sam.23.37b	not_found	10600
ΒΑΣΙΛΕΙΩΝ Β 23:37c	2Sam.23.37c	not_found	10601
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 16:23a	1Chr.16.23a	not_found	13338
ΝΕΕΜΙΑΣ 3:6a	2Esdr.13.6a	not_found	15320
ΨΑΛΜΟΙ 115:4a	Ps.115.4a	not_found	20051
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 25:10a	Prov.25.10a	not_found	21749
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 25:20a	Prov.25.20a	not_found	21763
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 26:11a	Prov.26.11a	not_found	21786
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 27:20a	Prov.27.20a	not_found	21832
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 27:21a	Prov.27.21a	not_found	21834
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 28:17a	Prov.28.17a	not_found	21865
ΙΕΡΕΜΙΑΣ 10:9a	Jer.10.9a	not_found	24482
ΙΕΡΕΜΙΑΣ 23:40a	Jer.23.40a	not_found	24901
ΙΕΡΕΜΙΑΣ 23:40b	Jer.23.40b	not_found	24902
ΘΡΗΝΟΙ ΙΕΡΕΜΙΟΥ 3:21a	Lam.3.21a	not_found	26016
ΘΡΗΝΟΙ ΙΕΡΕΜΙΟΥ 3:21b	Lam.3.21b	not_found	26017
ΘΡΗΝΟΙ ΙΕΡΕΜΙΟΥ 3:21c	Lam.3.21c	not_found	26018
ΔΑΝΙΗΛ 3:72a	DanTh.3.72a	not_found	28086
ΔΑΝΙΗΛ 3:72b	DanTh.3.72b	not_found	28087
ΕΣΔΡΑΣ Α 1:56	1Esdr.1.56	not_found	30069
ΕΣΔΡΑΣ Α 1:57	1Esdr.1.57	not_found	30070
ΕΣΔΡΑΣ Α 1:58	1Esdr.1.58	not_found	30071
ΕΣΔΡΑΣ Α 2:27	1Esdr.2.27	not_found	30106
ΕΣΔΡΑΣ Α 2:28	1Esdr.2.28	not_found	30107
ΕΣΔΡΑΣ Α 2:29	1Esdr.2.29	not_found	30108
ΕΣΔΡΑΣ Α 2:30	1Esdr.2.30	not_found	30110
ΕΣΔΡΑΣ Α 5:72	1Esdr.5.72	not_found	30332
ΕΣΔΡΑΣ Α 5:73	1Esdr.5.73	not_found	30333
ΕΣΔΡΑΣ Α 6:34	1Esdr.6.34	not_found	30378
ΕΣΔΡΑΣ Α 8:93	1Esdr.8.93	not_found	30516
ΕΣΔΡΑΣ Α 8:94	1Esdr.8.94	not_found	30517
ΕΣΔΡΑΣ Α 8:95	1Esdr.8.95	not_found	30518
ΕΣΔΡΑΣ Α 8:96	1Esdr.8.96	not_found	30519
ΤΩΒΙΤ 4:7a	TobS.4.7a	not_found	30681
ΤΩΒΙΤ 4:7b	TobS.4.7b	not_found	30682
ΤΩΒΙΤ 4:7c	TobS.4.7c	not_found	30683
ΤΩΒΙΤ 4:7d	TobS.4.7d	not_found	30684
ΤΩΒΙΤ 4:7e	TobS.4.7e	not_found	30686
ΤΩΒΙΤ 4:7f	TobS.4.7f	not_found	30688
ΤΩΒΙΤ 4:7g	TobS.4.7g	not_found	30689
ΤΩΒΙΤ 4:7h	TobS.4.7h	not_found	30690
ΤΩΒΙΤ 4:7i	TobS.4.7i	not_found	30692
ΤΩΒΙΤ 4:7k	TobS.4.7k	not_found	30693
ΤΩΒΙΤ 4:7l	TobS.4.7l	not_found	30694
ΤΩΒΙΤ 7:18	TobS.7.18	not_found	30777
ΤΩΒΙΤ 13:7a	TobS.13.7a	not_found	30897
ΤΩΒΙΤ 13:7b	TobS.13.7b	not_found	30899
ΤΩΒΙΤ 13:7c	TobS.13.7c	not_found	30900
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1a	Sir.1.1a	not_found	32011
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1b	Sir.1.1b	not_found	32012
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1c	Sir.1.1c	not_found	32014
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1d	Sir.1.1d	not_found	32015
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1e	Sir.1.1e	not_found	32016
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1f	Sir.1.1f	not_found	32017
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1g	Sir.1.1g	not_found	32018
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1g	Sir.1.1g	not_found	32019
ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1h	Sir.1.1h	not_found	32021
ΣΟΦΙΑ ΣΕΙΡΑΧ 6:2b	Sir.6.2b	not_found	32176
ΣΟΦΙΑ ΣΕΙΡΑΧ 7:17a	Sir.7.17a	not_found	32239
ΣΟΦΙΑ ΣΕΙΡΑΧ 7:17b	Sir.7.17b	not_found	32240
ΣΟΦΙΑ ΣΕΙΡΑΧ 30:13a	Sir.30.13a	not_found	32994
ΣΟΦΙΑ ΣΕΙΡΑΧ 30:13b	Sir.30.13b	not_found	32995
ΣΟΦΙΑ ΣΕΙΡΑΧ 30:13b	Sir.30.13b	not_found	32997
ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:73	EpJer.1.73	not_found	34025
ΜΑΚΚΑΒΑΙΩΝ Δ 7:25	4Macc.7.25	not_found	36834
ΜΑΚΚΑΒΑΙΩΝ Δ 10:3a	4Macc.10.3a	not_found	36917
ΜΑΚΚΑΒΑΙΩΝ Δ 11:6a	4Macc.11.6a	not_found	36947
ΜΑΚΚΑΒΑΙΩΝ Δ 11:6b	4Macc.11.6b	not_found	36948
