Line Number	Verse Reference	Word	Matched Variation	Verse Match?	Area Match?	Full Line
134	ΓΕΝΕΣΙΣ 2:13	Γεῶν	γηων	Yes	No	\vs{13}Καὶ ὄνομα τῷ ποταμῷ τῷ δευτέρῳ, Γεῶν· οὗτος ὁ κυκλῶν πᾶσαν τὴν γὴν Αἰθιοπίας.
227	ΓΕΝΕΣΙΣ 5:17	ἐννενήκοντα	ἐνενήκοντα	Yes	No	\vs{17}Καὶ ἐγένοντο πᾶσαι αἱ ἡμέραι Μαλελεὴλ, ἔτη πέντε καὶ ἐννενήκοντα καὶ ὀκτακόσια· καὶ ἀπέθανε.
373	ΓΕΝΕΣΙΣ 10:12	Δασὴ	δασά	No	Yes	\vs{12}καὶ τὴν Δασὴ ἀνὰ μέσον Νινευῒ, καὶ ἀνὰ μέσον Χαλάχ· αὕτη ἡ πόλις μεγάλη.
374	ΓΕΝΕΣΙΣ 10:13	Ἐνεμετιεὶμ	ενεμετιιμ	Yes	No	\vs{13}Καὶ Μεσραῒν ἐγέννησε τοὺς Λουδιεὶμ, καὶ τοὺς Νεφθαλεὶμ, καὶ τοὺς Ἐνεμετιεὶμ, καὶ τοὺς Λαβιεὶμ,
384	ΓΕΝΕΣΙΣ 10:22	Ἐλὰμ	αιλαμ	Yes	No	\vs{22}Υἱοὶ Σὴμ, Ἐλὰμ, καὶ Ἀσσοὺρ, καὶ Ἀρφαξὰδ, καὶ Λοὺδ, καὶ Ἀρὰμ, καὶ Καϊνᾶν.
409	ΓΕΝΕΣΙΣ 11:12	τριακονταπέντε	τριάκοντα πέντε	Yes	No	\vs{12}Καὶ ἔζησεν Ἀρφαξὰδ ἑκατὸν τριακονταπέντε ἔτη, καὶ ἐγέννησε τὸν Καϊνᾶν.
421	ΓΕΝΕΣΙΣ 11:24	ἑβδομηκονταεννέα	ἑβδομήκοντα ἐννέα	Yes	No	\vs{24}Καὶ ἔζησε Ναχὼρ ἔτη ἑκατὸν ἑβδομηκονταεννέα, καὶ ἐγέννησε τὸν Θάῤῥα.
436	ΓΕΝΕΣΙΣ 12:4	ἑβδομηκονταπέντε	ἑβδομήκοντα πέντε	Yes	No	\vs{4}Καὶ ἐπορεύθη Ἅβραμ, καθάπερ ἐλάλησεν αὐτῷ Κύριος, καὶ ᾤχετο μετʼ αὐτοῦ Λώτ· Ἅβραμ δὲ ἦν ἐτῶν ἑβδομηκονταπέντε, ὅτε ἐξῆλθεν ἐκ Χαῤῥάν.
476	ΓΕΝΕΣΙΣ 14:1	Ἐλὰμ	αιλαμ	Yes	No	Ἐγένετο δὲ ἐν τῇ βασιλείᾳ τῇ Ἀμαρφὰλ βασιλέως Σενναὰρ, καὶ Ἀριὼχ βασιλέως Ἑλλασὰρ, Χοδολλογομὸρ βασιλεὺς Ἐλὰμ, καὶ Θαργὰλ βασιλεὺς ἐθνῶν,
484	ΓΕΝΕΣΙΣ 14:9	Ἐλὰμ	αιλαμ	Yes	No	\vs{9}πρὸς Χοδολλογομὸρ βασιλέα Ἐλὰμ, καὶ Θαπγὰλ βασιλέα ἐθνῶν, καὶ Ἀμαρφὰλ βασιλέα Σενναὰρ, καὶ Ἀριὼχ βασιλέα Ἑλλασὰρ, οἱ τέσσαρες βασιλεῖς πρὸς τοὺς πέντε.
491	ΓΕΝΕΣΙΣ 14:15	Χοβὰ	χωβα	Yes	No	\vs{15}Καὶ ἐπέπεσεν ἐπʼ αὐτοὺς τὴν νύκτα αὐτὸς, καὶ οἱ παῖδες αὐτοῦ, καὶ ἐπάταξεν αὐτοὺς, καὶ κατεδίωξεν αὐτοὺς ἕως Χοβὰ, ἥ ἐστιν ἐν ἀριστερᾷ Δαμασκοῦ.
543	ΓΕΝΕΣΙΣ 16:16	ὀγδοηκονταὲξ	ὀγδοήκοντα ἓξ	Yes	No	\vs{16}Ἅβραμ δὲ ἦν ἐτῶν ὀγδοηκονταὲξ, ἡνίκα ἔτεκεν Ἄγαρ τῷ Ἅβραμ τὸν Ἰσμαήλ.
562	ΓΕΝΕΣΙΣ 17:17	ἐννενήκοντα	ἐνενήκοντα	Yes	No	\vs{17}Καὶ ἔπεσεν Ἁβραὰμ ἐπὶ πρόσωπον αὐτοῦ, καὶ ἐγέλασε· καὶ εἶπεν ἐν τῇ διανοίᾳ αὐτοῦ, λέγων, εἰ τῷ ἑκατονταετεῖ γενήσεται υἱός; καὶ εἰ ἡ Σάῤῥα ἐννενήκοντα ἐτῶν τέξεται;
571	ΓΕΝΕΣΙΣ 17:25	δεκατριῶν	δέκα τριῶν	Yes	No	\vs{25}Ἰσμαὴλ δὲ ὁ υἱὸς αὐτοῦ ἦν ἐτῶν δεκατριῶν, ἡνίκα περιετέμετο τὴν σάρκα τῆς ἀκροβυστίας αὐτοῦ.
579	ΓΕΝΕΣΙΣ 18:4	Ληφθήτω	λημφθήτω	Yes	No	\vs{4}Ληφθήτω δὴ ὕδωρ, καὶ νιψάτωσαν τοὺς πόδας ὑμῶν, καὶ καταψύξατε ὑπὸ τὸ δένδρον.
605	ΓΕΝΕΣΙΣ 18:28	τεσσαρακονταπέντε	τεσσαράκοντα πέντε	Yes	No	\vs{28}Ἐὰν δὲ ἐλαττονωθῶσιν οἱ πεντήκοντα δίκαιοι εἰς τεσσαρακονταπέντε, ἀπολεῖς ἕνεκεν τῶν πέντε πᾶσαν τὴν πόλιν; καὶ εἶπεν, οὐ μὴ ἀπολέσω, ἐὰν εὕρω ἐκεῖ τεσσαρακονταπέντε.
605	ΓΕΝΕΣΙΣ 18:28	τεσσαρακονταπέντε	τεσσαράκοντα πέντε	Yes	No	\vs{28}Ἐὰν δὲ ἐλαττονωθῶσιν οἱ πεντήκοντα δίκαιοι εἰς τεσσαρακονταπέντε, ἀπολεῖς ἕνεκεν τῶν πέντε πᾶσαν τὴν πόλιν; καὶ εἶπεν, οὐ μὴ ἀπολέσω, ἐὰν εὕρω ἐκεῖ τεσσαρακονταπέντε.
624	ΓΕΝΕΣΙΣ 19:12	εἴτις	εἴ τίς	Yes	No	\vs{12}Εἶπαν δὲ οἱ ἄνδρες πρὸς τὸν Λὼτ, εἰσί σοι ὧδε γαμβροὶ, ἢ υἱοὶ, ἢ θυγατέρες; ἢ εἴτις σοι ἄλλος ἐστὶν ἐν τῇ πόλει, ἐξάγαγε ἐκ τοῦ τόπου τούτου,
737	ΓΕΝΕΣΙΣ 22:24	Μοχά	μωχα	Yes	No	\vs{24}Καὶ ἡ παλλακὴ αὐτοῦ, ᾗ ὄνομα Ῥεύμα, ἔτεκε καὶ αὐτὴ τὸν Ταβὲκ, καὶ τὸν Ταὰμ, καὶ τὸν Τοχός, καὶ τὸν Μοχά.
740	ΓΕΝΕΣΙΣ 23:1	εἰκοσιεπτά	εἴκοσι ἑπτά	Yes	No	Ἐγένετο δὲ ἡ ζωὴ Σάῤῥας, ἔτη ἑκατὸν εἰκοσιεπτά.
837	ΓΕΝΕΣΙΣ 25:2	Ἰεσβὼκ	ιεσβοκ	Yes	No	\vs{2}Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
838	ΓΕΝΕΣΙΣ 25:3	Δεδάν	δαιδαν	Yes	No	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Δεδὰν	δαιδαν	Yes	No	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Ἀσσουριεὶμ	ασσουριιμ	Yes	No	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Λατουσιεὶμ	λατουσιιμ	Yes	No	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
839	ΓΕΝΕΣΙΣ 25:4	Ἀφεὶρ	αφερ	Yes	No	\vs{4}Υἱοὶ δὲ Μαδιὰμ Γεφὰρ, καὶ Ἀφεὶρ, καὶ Ἐνὼχ, καὶ Ἀβειδὰ, καὶ Ἐλδαγά· πάντες οὗτοι ἦσαν υἱοὶ Χεττούρας.
842	ΓΕΝΕΣΙΣ 25:7	ἑβδομηκονταπεντε	ἑβδομήκοντα πέντε	Yes	No	\vs{7}Ταῦτα δὲ τὰ ἔτη ἡμερῶν τῆς ζωῆς Ἁβραὰμ ὅσα ἔζησεν, ἑκατὸν ἑβδομηκονταπεντε ἔτη.
852	ΓΕΝΕΣΙΣ 25:17	τριακονταεπτὰ	τριάκοντα ἑπτὰ	Yes	No	\vs{17}Καὶ ταῦτα τὰ ἔτη τῆς ζωῆς Ἰσμαὴλ, ἑκατὸν τριακονταεπτὰ ἔτη· καὶ ἐκλείπων ἀπέθανε, καὶ προσετέθη πρὸς τὸ γένος αὐτοῦ.
866	ΓΕΝΕΣΙΣ 25:29	ἕψημα	ἕψεμα	Yes	No	\vs{29}Ἥψησε δὲ Ἰακὼβ ἕψημα· ἦλθε δὲ Ἡσαῦ ἐκ τοῦ πεδίου ἐκλείπων.
871	ΓΕΝΕΣΙΣ 25:34	ἕψημα	ἕψεμα	Yes	No	\vs{34}Ἰακὼβ δὲ ἔδωκε τῷ Ἠσαῦ ἄρτον, καὶ ἕψημα φακοῦ· καὶ ἔφαγε καὶ ἔπιε, καὶ ἀναστὰς ᾤχετο· καὶ ἐφαύλισεν Ἡσαῦ τὰ πρωτοτόκια.
910	ΓΕΝΕΣΙΣ 26:34	Ἑλὼν	αιλων	Yes	No	\vs{34}Ἦν δὲ Ἡσαῦ ἐτῶν τεσσαράκοντα, καὶ ἔλαβε γυναῖκα Ἰουδὶθ, θυγατέρα Βεὼχ τοῦ Χετταίου, καὶ τὴν Βασεμὰθ, θυγατέρα Ἑλὼν Χετταίου.
