Line Number	Verse Reference	Word	Is Name?	Is Number?	Likely Typo?	Closest Match	Similarity	Verse Match?	Area Match?	Legitimate Variation?	Full Line
134	ΓΕΝΕΣΙΣ 2:13	Γεῶν	Yes	No	No	γηων	1.00	Yes	No	Yes	\vs{13}Καὶ ὄνομα τῷ ποταμῷ τῷ δευτέρῳ, Γεῶν· οὗτος ὁ κυκλῶν πᾶσαν τὴν γὴν Αἰθιοπίας.
218	ΓΕΝΕΣΙΣ 5:9	ἐννεήκοντα	No	Yes	Yes	ἐνενήκοντα	0.90	Yes	No	No	\vs{9}Καὶ ἔζησεν Ἐνὼς ἔτη ἑκατὸν ἐννεήκοντα· καὶ ἐγέννησε τὸν Καϊνᾶν.
227	ΓΕΝΕΣΙΣ 5:17	ἐννενήκοντα	No	Yes	No	ἐνενήκοντα	1.00	Yes	No	Yes	\vs{17}Καὶ ἐγένοντο πᾶσαι αἱ ἡμέραι Μαλελεὴλ, ἔτη πέντε καὶ ἐννενήκοντα καὶ ὀκτακόσια· καὶ ἀπέθανε.
373	ΓΕΝΕΣΙΣ 10:12	Δασὴ	Yes	No	No	δασά	1.00	No	Yes	Yes	\vs{12}καὶ τὴν Δασὴ ἀνὰ μέσον Νινευῒ, καὶ ἀνὰ μέσον Χαλάχ· αὕτη ἡ πόλις μεγάλη.
374	ΓΕΝΕΣΙΣ 10:13	Ἐνεμετιεὶμ	Yes	No	No	ενεμετιιμ	1.00	Yes	No	Yes	\vs{13}Καὶ Μεσραῒν ἐγέννησε τοὺς Λουδιεὶμ, καὶ τοὺς Νεφθαλεὶμ, καὶ τοὺς Ἐνεμετιεὶμ, καὶ τοὺς Λαβιεὶμ,
384	ΓΕΝΕΣΙΣ 10:22	Ἐλὰμ	Yes	No	No	αιλαμ	1.00	Yes	No	Yes	\vs{22}Υἱοὶ Σὴμ, Ἐλὰμ, καὶ Ἀσσοὺρ, καὶ Ἀρφαξὰδ, καὶ Λοὺδ, καὶ Ἀρὰμ, καὶ Καϊνᾶν.
409	ΓΕΝΕΣΙΣ 11:12	τριακονταπέντε	No	Yes	No	τριάκοντα πέντε	1.00	Yes	No	Yes	\vs{12}Καὶ ἔζησεν Ἀρφαξὰδ ἑκατὸν τριακονταπέντε ἔτη, καὶ ἐγέννησε τὸν Καϊνᾶν.
421	ΓΕΝΕΣΙΣ 11:24	ἑβδομηκονταεννέα	No	Yes	No	ἑβδομήκοντα ἐννέα	1.00	Yes	No	Yes	\vs{24}Καὶ ἔζησε Ναχὼρ ἔτη ἑκατὸν ἑβδομηκονταεννέα, καὶ ἐγέννησε τὸν Θάῤῥα.
422	ΓΕΝΕΣΙΣ 11:25	εἰκοσιπὲντε	No	Yes	Yes	εἴκοσι ἐννέα	0.82	Yes	No	No	\vs{25}Καὶ ἔζησε Ναχὼρ, μετὰ τὸ γεννῆσαι αὐτὸν τὸν Θάῤῥα, ἔτη ἑκατὸν εἰκοσιπὲντε, καὶ ἐγεννησεν υἱοὺς καὶ θυγατέρας, καὶ ἀπέθανε.
436	ΓΕΝΕΣΙΣ 12:4	ἑβδομηκονταπέντε	No	Yes	No	ἑβδομήκοντα πέντε	1.00	Yes	No	Yes	\vs{4}Καὶ ἐπορεύθη Ἅβραμ, καθάπερ ἐλάλησεν αὐτῷ Κύριος, καὶ ᾤχετο μετʼ αὐτοῦ Λώτ· Ἅβραμ δὲ ἦν ἐτῶν ἑβδομηκονταπέντε, ὅτε ἐξῆλθεν ἐκ Χαῤῥάν.
476	ΓΕΝΕΣΙΣ 14:1	Ἐλὰμ	Yes	No	No	αιλαμ	1.00	Yes	No	Yes	Ἐγένετο δὲ ἐν τῇ βασιλείᾳ τῇ Ἀμαρφὰλ βασιλέως Σενναὰρ, καὶ Ἀριὼχ βασιλέως Ἑλλασὰρ, Χοδολλογομὸρ βασιλεὺς Ἐλὰμ, καὶ Θαργὰλ βασιλεὺς ἐθνῶν,
