Line Number	Verse Reference	Word	Is Name?	Likely Typo?	Closest Match	Similarity	Full Line
13676	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 27:2	Ἰσβοὰζ	Yes	No			\vs{2}Καὶ ἐπὶ τῆς διαιρέσεως τῆς πρώτης τοῦ μηνὸς τοῦ πρώτου, Ἰσβοὰζ ὁ τοῦ Ζαβδιὴλ, ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες·
14533	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 27:3	Ὀπέλ	Yes	No			\vs{3}Αὐτὸς ᾠκοδόμησε τὴν πύλην οἴκου Κυρίου τὴν ὑψηλὴν, καὶ ἐν τείχει Ὀπέλ ᾠκοδόμησε πολλὰ,
14744	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 33:14	ἰχθυϊκῆς	No	No			\vs{14}Καὶ μετὰ ταῦτα ᾠκοδόμησε τεῖχος ἔξω τῆς πόλεως Δαυὶδ ἀπὸ Λιβὸς κατὰ Νότον ἐν τῷ χειμάῤῥῳ, καὶ κατὰ τὴν εἴσοδον τὴν διὰ τῆς πύλης τῆς ἰχθυϊκῆς ἐκπορευομένων τὴν πύλην τὴν κυκλόθεν, καὶ εἰς Ὄπελ, καὶ ὕψωσε σφόδρα, καὶ κατέστησεν ἄρχοντας τῆς δυνάμεως ἐν πάσαις ταῖς πόλεσι ταῖς τειχήρεσιν ἐν Ἰούδα.
14744	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 33:14	Ὄπελ	Yes	No			\vs{14}Καὶ μετὰ ταῦτα ᾠκοδόμησε τεῖχος ἔξω τῆς πόλεως Δαυὶδ ἀπὸ Λιβὸς κατὰ Νότον ἐν τῷ χειμάῤῥῳ, καὶ κατὰ τὴν εἴσοδον τὴν διὰ τῆς πύλης τῆς ἰχθυϊκῆς ἐκπορευομένων τὴν πύλην τὴν κυκλόθεν, καὶ εἰς Ὄπελ, καὶ ὕψωσε σφόδρα, καὶ κατέστησεν ἄρχοντας τῆς δυνάμεως ἐν πάσαις ταῖς πόλεσι ταῖς τειχήρεσιν ἐν Ἰούδα.
14762	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 34:3	περιβωμίων	No	No			\vs{3}Καὶ ἐν τῷ ὀγδόῳ ἔτει τῆς βασιλείας αὐτοῦ, καὶ αὐτὸς ἔτι παιδάριον ἤρξατο τοῦ ζητῆσαι Κύριον τὸν Θεὸν Δαυὶδ τοῦ πατρὸς αὐτοῦ· καὶ ἐν τῷ δωδεκάτῳ ἔτει τῆς βασιλείας αὐτοῦ ἤρξατο τοῦ καθαρίσαι τὸν Ἰούδαν καὶ τὴν Ἱερουσαλὴμ ἀπὸ τῶν ὑψηλῶν, καὶ τῶν ἄλσεων, καὶ ἀπὸ τῶν περιβωμίων, καὶ ἀπὸ τῶν χωνευτῶν.
14810	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 35:8	διαχίλια	No	Yes	δισχίλια	0.88	\vs{8}Καὶ οἱ ἄρχοντες αὐτοῦ ἀπήρξαντο τῷ λαῷ καὶ τοῖς ἱερεῦσι καὶ τοῖς Λευίταις· ἔδωκε δὲ Χελκίας καὶ Ζαχαρίας καὶ Ἰεϊὴλ οἱ ἄρχοντες τοῖς ἱερεῦσιν οἴκου Θεοῦ, καὶ ἔδωκαν εἰς τὸ φασὲκ πρόβατα καὶ ἀμνοὺς καὶ ἐρίφους διαχίλια ἑξακόσια, καὶ μόσχους τριακοσίους.
14989	ΕΣΔΡΑΣ 2:50	Μοουνὶμ	Yes	No			\vs{50}υἱοὶ Ἀσενὰ, υἱοὶ Μοουνὶμ, υἱοὶ Νεφουσὶμ,
14989	ΕΣΔΡΑΣ 2:50	Νεφουσὶμ	Yes	No			\vs{50}υἱοὶ Ἀσενὰ, υἱοὶ Μοουνὶμ, υἱοὶ Νεφουσὶμ,
15161	ΕΣΔΡΑΣ 8:11	εἰκοσιοκτὼ	No	No			\vs{11}Καὶ ἀπὸ υἱῶν Βαβὶ, Ζαχαρίας υἱὸς Βαβὶ, καὶ μετʼ αὐτοῦ εἰκοσιοκτὼ τὰ ἀρσενικά.
15190	ΕΣΔΡΑΣ 8:35	ἑβδομηκονταεπτὰ	No	Yes	ἑβδομήκοντα καὶ	0.83	\vs{35}Ἐν τῷ καιρῷ ἐκείνῳ οἱ ἐλθόντες ἐκ τῆς αἰχμαλωσίας υἱοὶ τῆς παροικίας, προσήνεγκαν ὁλοκαυτώσεις τῷ Θεῷ Ἰσραὴλ, μόσχους δώδεκα περὶ παντὸς Ἰσραὴλ, κριοὺς ἐννενηκανταὲξ, ἀμνοὺς ἑβδομηκονταεπτὰ, χιμάρους περὶ ἁμαρτίας δώδεκα, τὰ πάντα ὁλοκαυτώματα τῷ Κυρίῳ·
15260	ΕΣΔΡΑΣ 10:43	Ζεβεννὰς	Yes	No			\vs{43}Ἀπὸ υἱῶν Ναβοὺ, Ἰαὴλ, Ματθανίας, Ζαβὰδ, Ζεβεννὰς, Ἰαδαὶ, καὶ Ἰωὴλ, καὶ Βαναία.
15320	ΝΕΕΜΙΑΣ 3:6	Μηρωνωθίτης	Yes	No			\vs{6a}Καὶ ἐπὶ χεῖρα αὐτῶν ἐκράτησαν Μαλτίας ὁ Γαβαωνίτης, καὶ Εὐάρων ὁ Μηρωνωθίτης, ἄνδρες τῆς Γαβαὼν καὶ τῆς Μασφὰ ἓως θρόνου τοῦ ἄρχοντος τοῦ πέραν τοῦ ποταμοῦ.
15324	ΝΕΕΜΙΑΣ 3:11	Φαὰτ	Yes	No			\vs{11}Καὶ δεύτερος ἐκράτησε Μελχίας υἱὸς Ἡρὰμ, καὶ Ἀσοὺβ υἱὸς Φαὰτ Μωὰβ, καὶ ἕως πύργου τῶν θανουρίμ.
15331	ΝΕΕΜΙΑΣ 3:15	Χολεζὲ	Yes	No			\vs{15}Τὴν δὲ πύλην τῆς πηγῆς ἠσφαλίσατο Σαλωμὼν υἱὸς Χολεζὲ, ἄρχων μέρους τῆς Μασφά· αὐτὸς ἐζῳκοδόμησεν αὐτὴν καὶ ἐστέγασεν αὐτὴν, καὶ ἔστησε τὰς θύρας αὐτῆς καὶ μοχλοὺς αὐτῆς· καὶ τὸ τεῖχος κολυμβήθρας τῶν κωδίων τῇ κουρᾷ τοῦ βασιλέως, καὶ ἕως τῶν κλιμάκων τῶν καταβαινουσῶν ἀπὸ πόλεως Δαυίδ.
15441	ΝΕΕΜΙΑΣ 7:7	Ῥεελμὰ	Yes	No			\vs{7}καὶ Ἰησοῦ, καὶ Νεεμία, Ἀζαρία, καὶ Ῥεελμὰ, Ναεμανὶ, Μαρδοχαῖος, Βαλσὰν, Μασφαρὰθ, Ἔσδρα, Βογουΐα, Ἰναοὺμ, Βαανὰ, Μασφὰρ, ἄνδρες λαοῦ Ἰσραήλ.
15441	ΝΕΕΜΙΑΣ 7:7	Βογουΐα	Yes	No			\vs{7}καὶ Ἰησοῦ, καὶ Νεεμία, Ἀζαρία, καὶ Ῥεελμὰ, Ναεμανὶ, Μαρδοχαῖος, Βαλσὰν, Μασφαρὰθ, Ἔσδρα, Βογουΐα, Ἰναοὺμ, Βαανὰ, Μασφὰρ, ἄνδρες λαοῦ Ἰσραήλ.
15556	ΝΕΕΜΙΑΣ 8:4	Ἀσαβαδμὰ	Yes	No			\vs{4}Καὶ ἔστη Ἔσδρας ὁ γραμματεὺς ἐπὶ βήματος ξυλίνου, καὶ ἔστησαν ἐχόμενα αὐτοῦ Ματθαθίας, καὶ Σαμαΐας, καὶ Ἀνανίας, καὶ Οὐρίας, καὶ Χελκία, καὶ Μαασία ἐκ δεξιῶν αὐτοῦ, καὶ ἐξ ἀριστερῶν Φαδαΐας, καὶ Μισαὴλ, καὶ Μελχίας, καὶ Ἀσὼμ, καὶ Ἀσαβαδμὰ, καὶ Ζαχαρίας, καὶ Μεσολλάμ.
15687	ΝΕΕΜΙΑΣ 11:12	εἰκοσιδύο	No	No			\vs{12}Καὶ οἱ ἀδελφοὶ αὐτῶν ποιοῦντες τὸ ἔργον τοῦ οἴκου, ὀκτακόσιοι εἰκοσιδύο· καὶ Ἀδαΐα υἱὸς Ἱεροὰμ, υἱοῦ Φαλαλία, υἱοῦ Ἀμασὶ, υἱὸς Ζαχαρία, υἱὸς Φασσοὺρ, υἱὸς Μελχία,
15688	ΝΕΕΜΙΑΣ 11:13	Μεσαριμὶθ	Yes	No			\vs{13}καὶ ἀδελφοὶ αὐτοῦ ἄρχοντες πατριῶν, διακόσιοι τεσσαρακονταδύο· καὶ Ἀμασία υἱὸς Ἐσδριὴλ, υἱοῦ Μεσαριμὶθ, υἱοῦ Ἐμμὴρ,
15727	ΝΕΕΜΙΑΣ 12:20	Ἀμὲκ	Yes	No			\vs{20}Τῷ Σαλαῒ, καλλαΐ· τῷ Ἀμὲκ, Ἀβέδ·
15954	ΕΣΘΗΡ 4:17	σκῆπτρόνσουτοῖς	No	No			\vs{17q}Μὴπαραδῷς Κύριε τὸ σκῆπτρόνσουτοῖς μὴοὖσι, καὶ μὴ καταγελασάτωσαν ἐν τῇ πτώσει ἡμῶν, ἀλλὰ στρέψον τὴν βουλὴν αὐτῶν ἐπʼ αὐτούς· τὸν δὲ ἀρξάμενον ἐφʼ ἡμᾶς παραδειγμάτισον.
16084	ΕΣΘΗΡ 9:7	Φαρσαννὲς	Yes	No			\vs{7}τόν τε Φαρσαννὲς, καὶ Δελτφὼν, καὶ Φασγὰ, καὶ Φαραδαθὰ,
17427	ΙΩΒ 41:7	σμυρίτης	No	Yes	σμιρίτης	0.88	\vs{7}Τὰ ἔγκατα αὐτοῦ ἀσπίδες χάλκεαι. σύνδεσμος δὲ αὐτοῦ, ὥσπερ σμυρίτης λίθος.
22275	ΑΣΜΑ 1:13	ἀυαμέσου	No	No			\vs{13}Ἀπόδεσμος τῆς στακτῆς ἀδελφιδός μου ἐμοὶ, ἀυαμέσου τῶν μαστῶν μου αὐλισθήσεται.
22441	ΗΣΑΙΑΣ 1:6	ὁλοκληρία	No	No			\vs{6}Ἀπὸ ποδῶν ἕως κεφαλῆς, οὐκ ἔστιν ἐν αὐτῷ ὁλοκληρία, οὔτε τραῦμα, οὔτε μώλωψ, οὔτε πληγὴ φλεγμαίνουσα· οὐκ ἔστι μάλαγμα ἐπιθεῖναι, οὔτε ἔλαιον, οὔτε καταδέσμους.
23145	ΗΣΑΙΑΣ 29:15	Κυπίυο	Yes	No			\vs{15}Οὐαὶ οἱ βαθέως βουλὴν ποιοῦντες, καὶ οὐ διὰ Κυπίυο· οὐαὶ οἱ ἐν κρυφῇ βουλὴν ποιοῦντες, καὶ ἔσται ἐν σκότει τὰ ἔργα αὐτῶν· καὶ ἐροῦσι, τίς ἑόρακεν ἡμᾶς; καὶ τίς ἡμᾶς γνώσεται, ἢ ἃ ἡμεῖς ποιοῦμεν;
23596	ΗΣΑΙΑΣ 44:25	μωραίνων	No	No			\vs{25}Τίς ἕτερος διασκεδάσει σημεῖα ἐγγαστριμύθων, καὶ μαντείας ἀπὸ καρδίας; ἀποστρέφων φρονίμους εἰς τὰ ὀπίσω, καὶ τὴν βουλὴν αὐτῶν μωραίνων,
25703	ΙΕΡΕΜΙΑΣ 46:3	Ναγαργᾶς	Yes	No			\vs{3}καὶ εἰσῆλθον πάντες οἱ ἡγούμενοι βασιλέως Βαβυλῶνος, καὶ ἐκάθισαν ἐν πύλῃ τῇ μέσῃ Μαργανασὰρ, καὶ Σαμαγὼθ, καὶ Ναβουσάχαρ, καὶ Ναβουσαρεὶς, Ναγαργᾶς, Νασεῤῥαβαμὰθ, καὶ οἱ κατάλοιποι ἡγεμόνες βασιλέως Βαβυλῶνος.
25703	ΙΕΡΕΜΙΑΣ 46:3	Νασεῤῥαβαμὰθ	Yes	No			\vs{3}καὶ εἰσῆλθον πάντες οἱ ἡγούμενοι βασιλέως Βαβυλῶνος, καὶ ἐκάθισαν ἐν πύλῃ τῇ μέσῃ Μαργανασὰρ, καὶ Σαμαγὼθ, καὶ Ναβουσάχαρ, καὶ Ναβουσαρεὶς, Ναγαργᾶς, Νασεῤῥαβαμὰθ, καὶ οἱ κατάλοιποι ἡγεμόνες βασιλέως Βαβυλῶνος.
25874	ΙΕΡΕΜΙΑΣ 52:19	ἀπφὼθ	No	No			\vs{19}καὶ τὰς ἀπφὼθ, καὶ τὰς μασμαρὼθ, καὶ τοὺς ὑποχυτῆρας, καὶ τὰς λυχνίας, καὶ τὰς θυΐσκας, καὶ τοὺς κυάθους, ἃ ἦν χρυσᾶ χρυσᾶ, καὶ ἃ ἦν ἀργυρᾶ ἀργυρᾶ, ἔλαβεν ὁ ἀρχιμάγειρος.
27563	ΙΕΖΕΚΙΗΛ 40:7	θεηλὰθ	No	No			\vs{7}Καὶ τὸ θεὲ ἶσον τῷ καλάμῳ τὸ μῆκος, καὶ ἶσον τῷ καλάμῳ τὸ πλάτος, καὶ τὸ αἰλὰμ ἀναμέσον τοῦ θεηλὰθ πηχῶν ἕξ· καὶ τὸ θεὲ τὸ δεύτερον, ἶσον τῷ καλάμῳ πλάτος, καὶ ἶσον τῷ καλάμῳ μῆκος, καὶ τὸ αἰλὰμ πηχέων πέντε·
27846	ΙΕΖΕΚΙΗΛ 47:16	Μααβθηρὰς	Yes	No			\vs{16}Μααβθηρὰς Ἑβραμηλιὰμ ἀναμέσον ὁρίων Δαμασκοῦ καὶ ἀναμέσον ὁρίων Ἠμαθεὶ, αὐλὴ τοῦ Σαυνὰν, αἵ εἰσιν ἐπάνω τῶν ὁρίων Αὐρανίτιδος.
29527	ΣΟΦΟΝΙΑΣ 3:8	εἰσδέκασθαι	No	Yes	εἰσδέξασθαι	0.91	\vs{8}Διατοῦτο ὑπόμεινόν με, λέγει Κύριος, εἰς ἡμέραν ἀναστάσεώς μου εἰς μαρτύριον· διὸ τὸ κρίμα μου εἰς συναγωγὰς ἐθνῶν, τοῦ εἰσδέκασθαι βασιλεῖς, τοῦ ἐκχέαι ἐπʼ αὐτοὺς πᾶσαν ὀργὴν θυμοῦ· διότι ἐν πυρὶ ζήλου μου καταναλωθήσεται πᾶσα ἡ γῆ.
30063	ΕΣΔΡΑΣ Α 1:50	Θεὸζ	Yes	No			\vs{50}Καὶ ἀπέστειλεν ὁ Θεὸζ τῶν πατέρων αὐτῶν διὰ τοῦ ἀγγέλου αὐτοῦ μετακαλέσαι αὐτοὺς, καθότι ἐφείδετο αὐτῶν καὶ τοῦ σκηνώματος αὐτοῦ.
30089	ΕΣΔΡΑΣ Α 2:13	διοχίλιαι	No	Yes	δισχίλιαι	0.89	\vs{13}Ὁ δὲ τούτων ἀριθμὸς ἦν, σπονδεῖα χρυσᾶ χίλια, σπονδεῖα ἀργυρᾶ χίλια, θυΐσκαι ἀργυραῖ εἰκοσιεννέα, φιάλαι χρυσαῖ τριάκοντα, ἀργυραῖ διοχίλιαι τετρακόσιαι δέκα, καὶ ἄλλα σκεύη χίλια.
30234	ΕΣΔΡΑΣ Α 5:12	ἑβδομηκονταπέντε	No	No			\vs{12}Υἱοὶ Ἠλὰμ, χίλιοι διακόσιοι πεντηκοντατέσσαρες· υἱοὶ Ζαθουῒ, ἐννακόσιοι ἑβδομηκονταπέντε· υἱοὶ Χορβὲ, ἑπτακόσιοι πέντε· υἱοὶ Βανί, ἑξακόσιοι τεσσαρακονταοκτώ.
